Date,AAPL,AMZN,GOOG,JPM,KO,MSFT,NVDA,PFE,TSLA,XOM,^GSPC
2020-03-18,300233600,192904000,84668000,41525600,35408300,81593200,874268000,43884976,356793000,54036400,8799300000
2020-03-19,271857200,207998000,73022000,32175100,41956900,85922700,765512000,59820929,452932500,49412400,7956100000
2020-03-20,401693200,196358000,72036000,30150800,51513500,84866200,804636000,52488989,424282500,76534600,9053950000
2020-03-23,336752800,156170000,80882000,32536600,44978500,78975200,643876000,52853041,246817500,56952500,7411380000
2020-03-24,287531200,142942000,66890000,34363200,49096200,82516700,1101644000,44466784,343428000,61835600,7563150000
2020-03-25,303602000,129582000,81630000,38111700,42511700,75638200,793432000,44601275,318340500,56607700,8300010000
2020-03-26,252087200,124426000,71434000,29826300,37821700,64568100,696108000,43269967,260710500,46722000,7766990000
2020-03-27,204216800,107758000,64170000,30041500,23297900,57042300,638828000,38290344,215661000,51558600,6201670000
2020-03-30,167976400,122522000,51482000,21656900,23446000,63420300,602252000,29943508,179971500,45835000,5751120000
2020-03-31,197002000,102472000,49728000,23379300,25373900,77927200,949960000,29466151,266572500,41491600,6576210000
2020-04-01,176218400,82438000,46884000,28029600,21936400,57969900,656912000,26709625,200298000,36045900,5964000000
2020-04-02,165934000,86720000,39298000,24018000,17621900,49630700,675764000,27186876,297876000,62000200,6464190000
2020-04-03,129880000,72198000,46268000,21199400,14207100,41243300,663212000,32837370,338431500,48425700,6096970000
2020-04-06,201820400,115464000,53294000,26820800,22850000,67111700,727884000,40503217,223527000,41301900,6403840000
2020-04-07,202887200,102280000,47746000,22563800,21279600,62769000,784520000,24226295,268797000,48921800,7050410000
2020-04-08,168895200,79546000,39502000,22903300,18937100,48318200,542444000,25523980,189840000,33355600,5875710000
2020-04-09,161834800,92930000,43508000,42055900,19165300,51385100,525564000,30648107,204750000,60107300,7899550000
2020-04-13,131022800,134334000,34796000,26911900,19586000,41905300,398408000,18270141,337131000,29651900,5319530000
2020-04-14,194994800,161744000,49408000,46151300,21801900,52874300,530948000,21845309,458647500,30769000,5615730000
2020-04-15,131154400,137332000,33434000,30118600,12893200,40940800,366148000,21312196,353655000,33125000,5208000000
2020-04-16,157125200,240764000,50362000,32449600,17606800,50479600,745620000,20657451,309868500,30934000,5228810000
2020-04-17,215250000,158600000,38980000,30191900,19844600,52765600,539120000,24404843,196923000,40829100,5804810000
2020-04-20,130015200,115414000,33910000,23679400,18957900,36669600,449388000,22530620,221199000,39260800,5228630000
2020-04-21,180991600,149534000,43060000,23035000,26863700,56203700,735160000,23975233,303136500,44381600,5121010000
2020-04-22,116862400,84244000,41848000,16662400,15811600,34620200,483356000,20182624,212482500,27074200,5084920000
2020-04-23,124814400,101332000,31324000,16638800,17668200,32790800,424160000,20185365,198550500,35271000,5773530000
2020-04-24,126161200,76498000,32792000,15809200,15175000,34277600,352328000,17353794,198180000,28653800,5382810000
2020-04-27,117087600,112912000,32012000,22870200,19175500,33194400,479388000,23394057,310221000,28274400,5203930000
2020-04-28,112004800,105388000,59026000,20238900,17246700,34392700,442904000,35666728,228330000,26545100,5691160000
2020-04-29,137280800,91832000,75872000,20462600,15780000,51286600,379160000,26518535,243240000,29502500,6645640000
2020-04-30,183064000,190692000,53378000,19127600,20801100,53875900,375916000,29450973,427078500,37076300,6544980000
2020-05-01,240616800,195452000,41450000,18547700,14290400,39370500,342096000,22679867,487977000,35399300,4759810000
2020-05-04,133568000,97318000,30080000,15725900,22544200,30372900,317556000,19893512,288556500,27465600,4735930000
2020-05-05,147751200,64850000,33030000,18064100,13370500,36839200,368896000,24123952,254875500,29276200,5140290000
2020-05-06,142333600,62356000,24308000,20978000,11892900,32139300,323464000,24047432,166848000,22659000,4892570000
2020-05-07,115215200,67928000,27952000,16771900,16466000,28316000,373732000,33546080,172915500,22160300,5178790000
2020-05-08,133838400,64132000,27738000,20487800,13985100,30877800,339216000,19893618,241297500,19977400,4876030000
2020-05-11,145946400,65184000,28242000,31907600,10874600,30892700,469060000,25620421,247794000,22258000,4819730000
2020-05-12,162301200,61498000,27812000,27962900,13424400,32038200,493060000,19335314,238603500,25439100,5119630000
2020-05-13,200622400,95658000,36252000,35451600,15854800,44711500,625852000,24596882,285982500,30827900,6151650000
2020-05-14,158929200,72962000,32062000,35152500,18000800,41873900,602312000,22362507,205233000,24856500,5651130000
2020-05-15,166348400,84700000,34154000,26099000,31579400,46610400,987660000,25460002,157776000,22445600,5507700000
2020-05-18,135178400,87144000,36448000,30504400,26118500,35264500,774460000,22635177,174987000,32026100,6373670000
2020-05-19,101729600,86410000,25612000,19597300,17839900,26799100,717320000,19476234,144547500,21771600,4984330000
2020-05-20,111504800,79962000,33108000,20552400,22295900,31261300,587536000,17504200,109639500,19352400,5005380000
2020-05-21,102688800,102288000,27700000,14621400,13193500,29119500,761068000,17652181,183819000,19130700,4976620000
2020-05-22,81803200,57342000,26188000,13557900,13008400,20826900,1038764000,15781226,149812500,15406400,3970860000
2020-05-26,125522000,71364000,41212000,41233900,22223100,36073600,770780000,23260094,121345500,20356500,5848500000
2020-05-27,112945200,101138000,33716000,39402000,18447600,39517100,1175892000,25904158,173242500,20788300,6398000000
