Price,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,JPM,KO,MSFT,NVDA,PFE,TSLA,XOM,^GSPC,AAPL,AMZN,GOOG,JPM,KO,MSFT,NVDA,PFE,TSLA,XOM,^GSPC,AAPL,AMZN,GOOG,JPM,KO,MSFT,NVDA,PFE,TSLA,XOM,^GSPC,AAPL,AMZN,GOOG,JPM,KO,MSFT,NVDA,PFE,TSLA,XOM,^GSPC,AAPL,AMZN,GOOG,JPM,KO,MSFT,NVDA,PFE,TSLA,XOM,^GSPC
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,72.4005126953125,94.90049743652344,67.81177520751953,118.43032836914062,45.432708740234375,152.15838623046875,5.970754146575928,27.494844436645508,28.68400001525879,53.30640411376953,3257.85009765625,72.46077614730521,94.90049743652344,67.84995964380428,118.43873052280593,45.796235360405404,152.2625919076215,5.970754146575928,27.642364528536483,28.713333129882812,53.39662284537479,3258.139892578125,71.15667416341765,93.2074966430664,66.53128745454937,116.8942328032374,45.242680094919166,149.9890318942147,5.891363512424235,27.312202530803468,28.11400032043457,52.81017814519704,3235.530029296875,71.40977771923563,93.75,66.53128745454937,117.33911147002149,45.70535291743746,150.4153225898607,5.941884868219942,27.607242714585414,28.299999237060547,52.81017814519704,3244.669921875,135480400,80580000,28132000,10803700,11867700,22622100,237536000,16514072,142981500,12456400,3459930000
2020-01-03,71.69664764404297,93.74849700927734,67.47899627685547,116.86746978759766,45.18484878540039,150.26376342773438,5.875186443328857,27.347326278686523,29.534000396728516,52.87784957885742,3234.85009765625,72.45596582996416,94.30999755859375,68.06617839515248,117.61932738145413,45.43271115272938,151.52369966939423,5.918988548422026,27.565092815820748,30.266666412353516,53.65977778220415,3246.14990234375,71.47246932030643,93.2249984741211,66.72935249353212,115.8030460933789,44.68913035414425,149.7332670007078,5.826157991152776,27.164681554359706,29.128000259399414,52.750035880974046,3222.340087890625,71.62915285765841,93.2249984741211,66.8442084789888,116.15785399145182,44.879155857849135,149.9795792382155,5.851045561653233,27.199806191599187,29.366666793823242,53.6372173624135,3226.360107421875,146322800,75288000,23728000,10386800,11354500,21116200,205384000,14922848,266677500,17386900,3484700000
2020-01-06,72.2679214477539,95.14399719238281,69.14283752441406,116.77454376220703,45.16831588745117,150.6521453857422,5.8998236656188965,27.31219482421875,30.1026668548584,53.28385925292969,3246.280029296875,72.306490935931,95.18450164794922,69.25639950037348,116.80834235675412,45.366605113527356,150.71846465674278,5.905050011695952,27.396492802779576,30.104000091552734,53.652265859328345,3246.840087890625,70.56849521434884,93.0,66.95033541842346,115.31307036252512,45.044387878891335,148.26489736372372,5.755725566813906,27.185750680808873,29.333332061767578,52.80267347504945,3214.639892578125,70.8191932093111,93.0,66.95033541842346,115.36375536395883,45.151794674336784,148.80487615350108,5.78185729719918,27.270045834938333,29.364667892456055,52.87033753622623,3217.550048828125,118387200,81236000,34646000,10259000,14698300,20813700,262636000,15771951,151995000,20081900,3702460000
2020-01-07,71.92806243896484,95.34300231933594,69.09970092773438,114.7893295288086,44.821311950683594,149.27854919433594,5.971252918243408,27.220876693725586,31.270666122436523,52.847782135009766,3237.179931640625,72.53310260522755,95.69450378417969,69.57827011056023,116.46199933942665,45.11048044452405,151.25844269298102,6.017045883969803,27.48781656786714,31.441999435424805,53.02070522424936,3244.909912109375,71.70870255084994,94.60199737548828,68.95290348967677,114.73864451793976,44.738693281500666,149.03225142604057,5.88315121870379,27.171703336033843,30.224000930786133,52.261337334654826,3232.429931640625,72.27758611058375,95.2249984741211,69.32783136564986,115.97202275037907,44.986552440749655,150.92688967276914,5.928197495492935,27.48079220597286,30.760000228881836,53.00567067847557,3241.860107421875,108872000,80898000,30054000,10531300,9973900,21634100,314856000,20108107,268231500,17387700,3435910000
2020-01-08,73.0850830078125,94.59850311279297,69.64423370361328,115.6847915649414,44.9039421081543,151.65631103515625,5.982450485229492,27.438648223876953,32.80933380126953,52.05082702636719,3253.050048828125,73.3864001786431,95.55000305175781,70.00427676133661,116.22545312966461,45.14354072246432,152.32891395537885,6.023763779470867,27.55104368358635,33.232666015625,52.84779000333357,3267.070068359375,71.63152926998076,94.3219985961914,68.97571852152763,114.55278342792542,44.73870472751387,149.62904874222338,5.926951529563478,27.220881667635954,31.215333938598633,52.00571190995502,3236.669921875,71.63152926998076,94.9020004272461,69.03721014361005,114.63725414374525,44.83784778623833,150.55741741152548,5.967020184390604,27.227906030813752,31.579999923706055,52.71245612647252,3238.590087890625,132079200,70160000,30560000,9695300,10676000,27746500,277108000,16403507,467164500,15137700,3726840000
2020-01-09,74.63750457763672,95.05249786376953,70.41341400146484,116.107177734375,45.721885681152344,153.55101013183594,6.048153877258301,27.31922149658203,32.089332580566406,52.44929885864258,3274.699951171875,74.83034471463299,95.89099884033203,70.78536036029264,116.77455178307011,45.77145879142989,153.6741662890877,6.120576516953265,27.58616135203602,33.253334045410156,52.554557883912665,3275.580078125,73.81069163960515,94.79000091552734,69.93930195679447,115.76925621762801,45.308785883943415,152.54685380179285,5.994397032737195,27.248975058125172,31.524667739868164,51.599700779579784,3263.669921875,74.06138234642438,95.49449920654297,70.45011525147125,116.62249676832482,45.440977692982216,153.31418026324283,6.06881052602453,27.58616135203602,33.13999938964844,51.98314764945603,3266.030029296875,170108400,63346000,30018000,9469000,15398000,21385000,255112000,21971895,426606000,14811800,3641230000
2020-01-10,74.80622100830078,94.15799713134766,70.90438079833984,114.94983673095703,45.87885665893555,152.84046936035156,6.080508232116699,27.740707397460938,31.876667022705078,51.983158111572266,3265.35009765625,75.37029336253585,95.34700012207031,71.16221273646424,115.94667628503736,46.209337715527894,154.6214340015497,6.185782344219764,27.839054111707267,32.3293342590332,52.59967784202905,3282.989990234375,74.30483235122053,94.0,70.34001398848667,114.73018450417474,45.81276233863763,152.68889482600636,6.06632256758394,27.37542081215962,31.579999923706055,51.96812356330212,3260.860107421875,74.87131024106992,95.26850128173828,70.79675912001144,115.91289057574178,45.83754731478673,154.24251212062987,6.155419686593314,27.382445173972677,32.11933135986328,52.57712315152992,3281.81005859375,140644800,57074000,36414000,10190900,13040100,20725900,316296000,21557357,194392500,11995600,3214580000
2020-01-13,76.4044189453125,94.56500244140625,71.3755111694336,115.9044189453125,46.37458038330078,154.67825317382812,6.271146297454834,27.68451690673828,34.990665435791016,52.47937774658203,3288.1298828125,76.4309386915993,94.9000015258789,71.43948484872311,115.9044189453125,46.45719907540999,154.70667158890456,6.296282606868379,27.9374081201951,35.04199981689453,52.532007263289955,3288.1298828125,75.00389679896787,94.04000091552734,70.7203901217484,114.68792732750302,45.787976323201526,152.76466464734693,6.140984617283319,27.54402116049949,32.79999923706055,51.96059698461313,3268.429931640625,75.12201817653433,94.56549835205078,71.22177456327726,115.05119132828173,45.8788587755423,153.23832417187603,6.16363259678268,27.832037016624135,32.900001525878906,52.02826104772885,3271.1298828125,121532000,55616000,33046000,12355200,14302900,21626500,319840000,15392405,397764000,9953900,3459390000
