Date,AAPL,AMZN,GOOG,JPM,KO,MSFT,NVDA,PFE,TSLA,XOM,^GSPC
2020-01-02,72.40052795410156,94.90049743652344,67.811767578125,118.43034362792967,45.432716369628906,,5.970754146575928,27.494844436645508,28.68400001525879,53.306419372558594,3257.85009765625
2020-01-03,71.69661712646484,93.74849700927734,67.47898864746094,116.86749267578124,45.18484878540039,,5.875186920166016,27.347320556640625,29.53400039672852,52.87784957885742,3234.85009765625
2020-01-06,72.26793670654297,95.1439971923828,69.14283752441406,116.7745361328125,45.1683235168457,,5.899824619293213,27.312204360961918,30.1026668548584,53.28384780883789,3246.280029296875
2020-01-07,71.92804718017578,95.34300231933594,69.09970092773438,114.789306640625,44.821327209472656,,5.971252918243408,27.220876693725582,31.270666122436523,52.8477783203125,3237.179931640625
2020-01-08,73.0851058959961,94.59850311279295,69.64422607421875,115.68477630615234,44.90393829345703,,5.982451438903809,27.438644409179688,32.80933380126953,52.05082321166992,3253.050048828125
2020-01-09,74.63750457763672,95.05249786376952,70.41341400146484,116.107177734375,45.72188186645508,,6.048154354095459,27.319223403930664,32.089332580566406,52.44929885864258,3274.699951171875
2020-01-10,74.80622100830078,94.15799713134766,70.90438079833984,114.9498062133789,45.87885665893555,,6.080507755279541,27.74071311950684,31.87666702270508,51.98315048217773,3265.35009765625
2020-01-13,76.40443420410156,94.56500244140624,71.3755111694336,115.90442657470705,46.37457275390625,,6.271146297454834,27.684513092041016,34.990665435791016,52.479373931884766,3288.1298828125
2020-01-14,75.37273406982422,93.47200012207033,70.96141052246094,117.25606536865234,46.26716613769531,,6.154176712036133,28.14814567565918,35.861331939697266,52.028263092041016,3283.14990234375
2020-01-15,75.04969787597656,93.10099792480467,71.3740234375,115.49893951416016,46.845516204833984,,6.111617565155029,28.56963539123535,34.56666564941406,51.945560455322266,3289.2900390625
2020-01-16,75.98980712890625,93.89700317382812,71.99393463134766,115.9466781616211,46.94464874267578,,6.195239543914795,28.527482986450195,34.232666015625,51.7425537109375,3316.81005859375
2020-01-17,76.83109283447266,93.23600006103516,73.416748046875,116.74919128417967,47.04380035400391,,6.20395040512085,28.457237243652344,34.03333282470703,51.54706954956055,3329.6201171875
2020-01-21,76.31040954589844,94.5999984741211,73.61563110351562,115.60028839111328,47.23381805419922,,6.170602321624756,28.33781242370605,36.47999954223633,50.81025695800781,3320.7900390625
2020-01-22,76.58279418945312,94.3730010986328,73.69249725341797,115.46514129638672,47.59735870361328,,6.224607467651367,28.232440948486328,37.97066879272461,50.517032623291016,3321.75
2020-01-23,76.95162963867188,94.22899627685548,73.72720336914062,115.34683990478516,47.77911376953125,,6.293046951293945,28.59772491455078,38.14666748046875,50.20124816894531,3325.5400390625
2020-01-24,76.7298583984375,93.08200073242188,72.73831939697266,112.48303985595705,47.65518569946289,,6.233814716339111,27.972524642944336,37.654666900634766,49.8629264831543,3295.469970703125
2020-01-27,74.47357177734375,91.41699981689452,71.1111831665039,111.536865234375,47.48995590209961,,5.97797155380249,28.211368560791016,37.20133209228516,48.67499542236328,3243.6298828125
2020-01-28,76.58040618896484,92.6624984741211,72.03657531738281,113.56436157226562,47.10163116455078,,6.171347618103027,26.792367935180664,37.79333114624024,48.60732650756836,3276.239990234375
2020-01-29,78.18339538574219,92.9000015258789,72.3376235961914,113.39541625976562,47.10163116455078,,6.110870838165283,26.398983001708984,38.732666015625,48.20131301879883,3273.39990234375
2020-01-30,78.07011413574219,93.53399658203124,72.19924926757812,114.7977523803711,48.63010025024414,,6.117589950561523,26.30672645568848,42.72066879272461,48.71258544921875,3283.659912109375
2020-01-31,74.60856628417969,100.43599700927734,71.12755584716797,111.81566619873048,48.25004577636719,,5.884145259857178,26.427370071411133,43.37133407592773,46.70513916015625,3225.52001953125
2020-02-03,74.4036865234375,100.20999908447266,73.69200134277344,112.66888427734376,48.39876174926758,,5.981207847595215,26.618974685668945,52.0,45.66006088256836,3248.919921875
2020-02-04,76.8600082397461,102.4834976196289,71.76431274414062,114.2908706665039,48.61357498168945,,6.150440692901611,26.746715545654297,59.137332916259766,45.088661193847656,3297.590087890625
2020-02-05,77.48676300048828,101.99349975585938,71.82184600830078,116.23387908935548,48.6218376159668,,6.240783214569092,27.087343215942383,48.97999954223633,47.163761138916016,3334.68994140625
2020-02-06,78.39311218261719,102.5114974975586,73.21044158935547,116.25078582763672,48.73751449584961,,6.327641487121582,27.15121078491211,49.93066787719727,46.52469253540039,3345.780029296875
2020-02-07,77.32754516601562,103.96399688720705,73.35922241210938,115.87908935546876,48.90275192260742,,6.261439800262451,27.00219345092773,49.87133407592773,46.216426849365234,3327.7099609375
2020-02-10,77.69482421875,106.69550323486328,74.8197250366211,116.36061096191406,49.36541748046875,,6.5446600914001465,26.83186912536621,51.41866683959961,45.72834014892578,3352.090087890625
2020-02-11,77.22607421875,107.54000091552734,74.8251953125,116.58024597167967,49.23322677612305,,6.667105197906494,27.030574798583984,51.62533187866211,46.16304397583008,3357.75
2020-02-12,79.06000518798828,108.0,75.29531860351562,116.58024597167967,49.08451843261719,,6.782833099365234,26.782196044921875,51.15266799926758,46.7274055480957,3379.449951171875
2020-02-13,78.49701690673828,107.49349975585938,75.1163101196289,116.47889709472656,49.24975204467773,,6.739031791687012,26.207380294799805,53.59999847412109,46.46810531616211,3373.93994140625
2020-02-14,78.51634216308594,106.74349975585938,75.41783142089844,116.12405395507812,49.53066253662109,,7.212140083312988,25.909324645996094,53.33533477783203,46.25457000732422,3380.159912109375
2020-02-18,77.07865905761719,107.78350067138672,75.36476135253906,114.58658599853516,49.18366241455078,,7.380879878997803,25.774486541748047,57.22666549682617,45.667327880859375,3370.2900390625
2020-02-19,78.19498443603516,108.51100158691406,75.71290588378906,116.14942932128906,49.3819465637207,,7.832089424133301,25.71062660217285,61.16133117675781,46.01814651489258,3386.14990234375
2020-02-20,77.39277648925781,107.65499877929688,75.28938293457031,116.14942932128906,49.34063720703125,,7.682763576507568,25.440954208374023,59.96066665649414,45.65206909179688,3373.22998046875
2020-02-21,75.64098358154297,104.79850006103516,73.65083312988281,114.73016357421876,49.67937469482422,,7.318660736083984,25.34870147705078,60.06666564941406,45.095340728759766,3337.75
2020-02-24,72.04801940917969,100.4645004272461,70.50069427490234,111.64672088623048,48.45660781860352,,6.801250457763672,24.60356712341309,55.58599853515625,42.9827995300293,3225.889892578125
2020-02-25,69.60760498046875,98.63700103759766,68.85719299316406,106.66249084472656,47.77085876464844,,6.521762371063232,24.07842254638672,53.32733154296875,41.335487365722656,3128.2099609375
2020-02-26,70.71185302734375,98.97949981689452,69.09176635742188,106.98348999023438,47.58908081054688,,6.661133289337158,24.63905334472656,51.91999816894531,40.42794036865234,3116.389892578125
2020-02-27,66.0895004272461,94.21499633789062,65.36783599853516,102.531494140625,45.38314056396485,,6.290337085723877,24.19906997680664,45.26666641235352,37.995094299316406,2978.760009765625
