Date,AAPL,AMZN,GOOG,JPM,KO,MSFT,NVDA,PFE,TSLA,XOM,^GSPC
2020-01-02,72.40050506591797,94.90049743652344,67.811767578125,118.43034362792967,45.432708740234375,152.1583709716797,5.970754146575928,27.49484062194824,28.68400001525879,53.30641174316406,3257.85009765625
2020-01-03,71.6966552734375,93.74849700927734,67.47898864746094,116.86746978759766,45.18484115600586,150.26376342773438,5.875186443328857,27.34732437133789,29.53400039672852,52.87785339355469,3234.85009765625
2020-01-06,72.26793670654297,95.1439971923828,69.14285278320312,116.77454376220705,45.16831970214844,150.6521453857422,5.899824619293213,27.31220245361328,30.1026668548584,53.28385925292969,3246.280029296875
2020-01-07,71.92804718017578,95.34300231933594,69.09970092773438,114.78931427001952,44.821327209472656,149.278564453125,5.971252918243408,27.220870971679688,31.270666122436523,52.84778594970703,3237.179931640625
2020-01-08,73.08512115478516,94.59850311279295,69.64423370361328,115.68478393554688,44.90394592285156,151.6562957763672,5.982451438903809,27.438644409179688,32.80933380126953,52.05082702636719,3253.050048828125
2020-01-09,74.63749694824219,95.05249786376952,70.41340637207031,116.10717010498048,45.72187805175781,153.5509490966797,6.048154354095459,27.31922721862793,32.089332580566406,52.44929504394531,3274.699951171875
2020-01-10,74.80622863769531,94.15799713134766,70.90438079833984,114.9498291015625,45.87885665893555,152.8404541015625,6.080509662628174,27.74070167541504,31.87666702270508,51.98314666748047,3265.35009765625
2020-01-13,76.4044189453125,94.56500244140624,71.3755111694336,115.90442657470705,46.37458419799805,154.6782684326172,6.271147727966309,27.68450164794922,34.990665435791016,52.47936248779297,3288.1298828125
2020-01-14,75.37271881103516,93.47200012207033,70.96141815185547,117.2560806274414,46.26716995239258,153.5888214111328,6.154175281524658,28.148141860961918,35.861331939697266,52.02825164794922,3283.14990234375
2020-01-15,75.04969787597656,93.10099792480467,71.37403869628906,115.4989242553711,46.84551239013672,154.5835418701172,6.111618041992188,28.569623947143555,34.56666564941406,51.94555282592773,3289.2900390625
2020-01-16,75.98981475830078,93.89700317382812,71.99392700195312,115.94666290283205,46.94464492797852,157.41600036621094,6.195239067077637,28.52747344970703,34.232666015625,51.74254989624024,3316.81005859375
2020-01-17,76.83108520507812,93.23600006103516,73.41675567626953,116.74920654296876,47.043792724609375,158.29701232910156,6.203950881958008,28.45723533630371,34.03333282470703,51.54706573486328,3329.6201171875
2020-01-21,76.31041717529297,94.5999984741211,73.6156234741211,115.60026550292967,47.23381805419922,157.7286376953125,6.17060136795044,28.337820053100582,36.47999954223633,50.81024932861328,3320.7900390625
2020-01-22,76.58280181884766,94.3730010986328,73.69248962402344,115.46512603759766,47.59735870361328,156.97080993652344,6.224606990814209,28.23244285583496,37.97066879272461,50.51704025268555,3321.75
